cve_mun,ano,n_encuestados,prop_inseguro,n_valido_percepcion,prop_espera_empeorar,n_valido_expectativa,prop_atestiguo_alguno,indice_atestiguo,n_valido_atestiguo,prop_cambio_habito,indice_habito,n_valido_habito
26030,2013,78,0.5128205128205128,78,0.23076923076923078,78,0.8461538461538461,2.5384615384615383,78,0.3717948717948718,0.6794871794871793,78
26030,2014,165,0.5272727272727272,165,0.18292682926829268,164,0.8363636363636363,2.7757575757575768,165,0.3696969696969697,0.7272727272727273,165
26030,2015,162,0.6111111111111112,162,0.17901234567901234,162,0.8333333333333334,2.95679012345679,162,0.43209876543209874,0.7777777777777777,162
26030,2016,1024,0.6904296875,1024,0.3604309500489716,1021,0.9111328125,3.3427734375,1024,0.6669921875,1.5263671875,1024
26030,2017,1046,0.7571701720841301,1046,0.4076555023923445,1045,0.9149139579349904,3.4713193116634806,1046,0.6873804971319312,1.59942638623327,1046
26030,2018,1032,0.7255092143549952,1031,0.2952755905511811,1016,0.9089147286821705,3.230620155038759,1032,0.6540697674418605,1.536821705426357,1032
26030,2019,1043,0.6817307692307693,1040,0.282798833819242,1029,0.835091083413231,2.720997123681688,1043,0.6212847555129435,1.4078694817658344,1042
26030,2020,797,0.680503144654088,795,0.3726235741444867,789,0.8469259723964868,2.672955974842767,795,0.6562107904642409,1.5746549560853205,797
26043,2016,269,0.5597014925373134,268,0.30970149253731344,268,0.7881040892193308,2.408921933085502,269,0.5315985130111525,1.0334572490706317,269
26043,2017,1057,0.597918637653737,1057,0.28776290630975143,1046,0.7805108798486282,2.5023651844843897,1057,0.6054872280037843,1.286660359508042,1057
26043,2018,1066,0.6375586854460094,1065,0.2033898305084746,1062,0.7851782363977486,2.4793621013133214,1066,0.6069418386491557,1.243421052631579,1064
26043,2019,1070,0.48785046728971965,1070,0.18878504672897195,1070,0.7934579439252336,2.266355140186915,1070,0.5635514018691589,1.0869971936389127,1069
26043,2020,814,0.5343980343980343,814,0.22140221402214022,813,0.8194103194103194,2.1412776412776426,814,0.5663390663390664,1.0602706027060274,813
27004,2013,72,0.8333333333333334,72,0.125,72,0.9305555555555556,3.013888888888889,72,0.7638888888888888,1.3611111111111114,72
27004,2014,143,0.9300699300699301,143,0.24475524475524477,143,0.965034965034965,2.0979020979020984,143,0.6083916083916084,0.9650349650349649,143
27004,2015,140,0.9571428571428572,140,0.21428571428571427,140,0.9357142857142857,2.535714285714286,140,0.8,1.4071428571428573,140
27004,2016,983,0.9409368635437881,982,0.5507692307692308,975,0.948118006103764,3.6246185147507615,983,0.8972533062054934,2.4908350305498965,982
27004,2017,968,0.9575569358178054,966,0.5630252100840336,952,0.90599173553719,3.4161490683229827,966,0.84400826446281,2.165109034267912,963
27004,2018,954,0.9316508937960042,951,0.28854625550660795,908,0.8951781970649895,3.248949579831933,952,0.859538784067086,2.232631578947368,950
27004,2019,984,0.9093686354378818,982,0.23413111342351717,961,0.8770325203252033,3.0345528455284554,984,0.850609756097561,2.2446264073695006,977
27004,2020,740,0.8891891891891892,740,0.375,728,0.8013513513513514,2.558108108108108,740,0.8040540540540541,2.116216216216216,740
27013,2014,4,1,4,0.25,4,1,3.75,4,0.75,1.25,4
27013,2015,8,1,8,0.5,8,1,3.375,8,0.5,1,8
27013,2016,38,0.8947368421052632,38,0.5,38,0.8947368421052632,3.8157894736842106,38,0.8947368421052632,2.1315789473684212,38
27013,2017,54,0.9629629629629629,54,0.46296296296296297,54,0.9814814814814815,4.518518518518518,54,0.9259259259259259,2.3703703703703702,54
27013,2018,52,0.8846153846153846,52,0.18,50,0.9230769230769231,3.769230769230769,52,0.7115384615384616,1.576923076923077,52
27013,2019,58,0.9655172413793104,58,0.20689655172413793,58,0.9137931034482759,3.9482758620689657,58,0.8448275862068966,2.396551724137931,58
27013,2020,41,0.925,40,0.325,40,0.975609756097561,4.2926829268292686,41,0.9512195121951219,2.560975609756098,41
28003,2013,10,0.8888888888888888,9,0,10,0.4,1.3,10,0.7,2.2,10
28003,2014,32,0.78125,32,0.03125,32,0.96875,3.96875,32,0.5,1.625,32
28003,2015,47,0.7659574468085106,47,0.23404255319148937,47,0.8085106382978723,2.978723404255319,47,0.5531914893617021,1.4468085106382977,47
28003,2016,217,0.6651162790697674,215,0.28502415458937197,207,0.7603686635944701,2.483870967741935,217,0.7603686635944701,1.9262672811059909,217
28003,2017,213,0.6197183098591549,213,0.27699530516431925,213,0.7793427230046949,2.276995305164319,213,0.6948356807511737,1.7605633802816902,213
28003,2018,219,0.518348623853211,218,0.09259259259259259,216,0.6118721461187214,1.6621004566210045,219,0.6164383561643836,1.4155251141552512,219
28003,2019,208,0.39903846153846156,208,0.028985507246376812,207,0.47115384615384615,1.2067307692307692,208,0.5865384615384616,1.2692307692307696,208
28003,2020,166,0.4578313253012048,166,0.18787878787878787,165,0.5120481927710844,1.2530120481927705,166,0.54216867469879515,1.5060240963855427,166
28009,2013,41,0.7073170731707317,41,0.12195121951219512,41,0.4878048780487805,1.5365853658536586,41,0.5365853658536586,1.609756097560976,41
28009,2014,68,0.8382352941176471,68,0.17647058823529413,68,0.7205882352941176,2.014705882352941,68,0.5,1.6764705882352946,68
28009,2015,68,0.75,68,0.11764705882352941,68,0.9117647058823529,3.1029411764705883,68,0.7647058823529411,2.544117647058824,68
28009,2016,301,0.6079734219269103,301,0.1476510067114094,298,0.654485049833887,1.7275747508305648,301,0.5880398671096345,1.3920265780730894,301
28009,2017,313,0.48231511254019294,311,0.19614147909967847,311,0.6038338658146964,1.466453674121406,313,0.6869009584664537,1.625,312
28009,2018,286,0.513986013986014,286,0.12280701754385964,285,0.5734265734265734,1.3951048951048948,286,0.7517482517482518,1.907142857142857,280
28009,2019,266,0.5150375939849624,266,0.12030075187969924,266,0.556390977443609,1.31203007518797,266,0.8157894736842105,2.0413533834586466,266
28009,2020,205,0.37073170731707317,205,0.22058823529411764,204,0.4926829268292683,1.1219512195121955,205,0.624390243902439,1.5024390243902437,205
28027,2016,714,0.7791842475386779,711,0.20579710144927535,690,0.7647058823529411,2.44039270687237,713,0.803921568627451,2.177871148459384,714
28027,2017,977,0.6885919835560124,973,0.16101694915254236,944,0.6161719549641761,1.8069815195071857,974,0.7727737973387923,2.142272262026614,977
28027,2018,946,0.718384697130712,941,0.16774891774891776,924,0.7198731501057083,2.2116402116402116,945,0.8107822410147991,2.118210862619809,939
28027,2019,960,0.7592008412197687,951,0.21558164354322304,937,0.828125,2.5360501567398153,957,0.7864583333333334,2.2565172054223153,959
28027,2020,771,0.6736292428198434,766,0.1970509383378016,746,0.74189364461738,2.0221932114882497,766,0.7846952010376135,2.016993464052286,765
28032,2016,845,0.8454106280193237,828,0.18726114649681527,785,0.7846153846153846,2.43957345971564,844,0.8260355029585799,2.255344418052257,842
28032,2017,958,0.9080459770114943,957,0.3262935586061246,947,0.8549060542797495,2.6252609603340282,958,0.8517745302713987,2.5125260960334015,958
28032,2018,890,0.9121621621621622,888,0.2652370203160271,886,0.9044943820224719,2.9269662921348325,890,0.8887640449438202,2.6565315315315305,888
28032,2019,946,0.8822905620360552,943,0.22604951560818085,929,0.8594080338266384,2.7008456659619453,946,0.8625792811839323,2.4772004241781542,943
28032,2020,766,0.7921052631578948,760,0.16443850267379678,748,0.779373368146214,2.2222222222222228,765,0.6879895561357703,1.6797900262467176,762
28038,2013,20,0.5,20,0.2,20,0.4,0.95,20,0.55,1.8,20
28038,2014,61,0.9180327868852459,61,0.22950819672131148,61,0.8688524590163934,2.0983606557377046,61,0.8852459016393442,3.3770491803278686,61
28038,2015,53,0.7924528301886793,53,0.11320754716981132,53,0.8679245283018868,2.849056603773585,53,0.7735849056603774,2.452830188679245,53
28038,2016,354,0.6515580736543909,353,0.21282798833819241,343,0.5536723163841808,1.2372881355932204,354,0.6581920903954802,1.6600000000000001,350
28038,2017,379,0.5706666666666667,375,0.17158176943699732,373,0.5092348284960422,1.0870712401055411,379,0.6807387862796834,1.6851851851851853,378
28038,2018,399,0.44696969696969696,396,0.08527131782945736,387,0.5388471177944862,1.0701754385964914,399,0.5588972431077694,1.2311557788944727,398
28038,2019,445,0.4764044943820225,445,0.07256235827664399,441,0.47191011235955055,1.0359550561797755,445,0.6157303370786517,1.4886877828054303,442
