"NAME_1","NAME_2","year","ndvi_mean"
"Baja California","Tijuana",2019,0.348708271980286
"Baja California","Tijuana",2020,0.351622402667999
"Baja California Sur","Comondú",2010,0.226228311657906
"Baja California Sur","Comondú",2011,0.187820449471474
"Baja California Sur","Comondú",2013,0.274553120136261
"Baja California Sur","Comondú",2014,0.29635888338089
"Baja California Sur","Comondú",2015,0.289995074272156
"Baja California Sur","Comondú",2016,0.236890107393265
"Baja California Sur","Comondú",2017,0.234063282608986
"Baja California Sur","Comondú",2018,0.209285706281662
"Baja California Sur","Comondú",2019,0.239246547222137
"Baja California Sur","Comondú",2020,0.234461382031441
"Baja California Sur","La Paz",2010,0.2432921230793
"Baja California Sur","La Paz",2011,0.212667256593704
"Baja California Sur","La Paz",2013,0.278010964393616
"Baja California Sur","La Paz",2014,0.312339276075363
"Baja California Sur","La Paz",2015,0.326637834310532
"Baja California Sur","La Paz",2016,0.288517683744431
"Baja California Sur","La Paz",2017,0.268291234970093
"Baja California Sur","La Paz",2018,0.28485518693924
"Baja California Sur","La Paz",2019,0.30437621474266
"Baja California Sur","La Paz",2020,0.300128668546677
"Baja California Sur","Loreto",2010,0.255541563034058
"Baja California Sur","Loreto",2011,0.21466813981533
"Baja California Sur","Loreto",2013,0.322882145643234
"Baja California Sur","Loreto",2014,0.34672737121582
"Baja California Sur","Loreto",2015,0.351863026618958
"Baja California Sur","Loreto",2016,0.300883680582047
"Baja California Sur","Loreto",2017,0.302799880504608
"Baja California Sur","Loreto",2018,0.277277201414108
"Baja California Sur","Loreto",2019,0.293014138936996
"Baja California Sur","Loreto",2020,0.263497918844223
"Baja California Sur","Los Cabos",2010,0.358259439468384
"Baja California Sur","Los Cabos",2011,0.309844583272934
"Baja California Sur","Los Cabos",2013,0.427831918001175
"Baja California Sur","Los Cabos",2014,0.440415024757385
"Baja California Sur","Los Cabos",2015,0.478998064994812
"Baja California Sur","Los Cabos",2016,0.418307274580002
"Baja California Sur","Los Cabos",2017,0.394605696201324
"Baja California Sur","Los Cabos",2018,0.457141935825348
"Baja California Sur","Los Cabos",2019,0.435065597295761
"Baja California Sur","Los Cabos",2020,0.457850158214569
"Baja California Sur","Mulegé",2010,0.161894381046295
"Baja California Sur","Mulegé",2011,0.136722683906555
"Baja California Sur","Mulegé",2013,0.172378018498421
"Baja California Sur","Mulegé",2014,0.188834235072136
"Baja California Sur","Mulegé",2015,0.214547455310822
"Baja California Sur","Mulegé",2016,0.171693921089172
"Baja California Sur","Mulegé",2017,0.1935815513134
"Baja California Sur","Mulegé",2018,0.174273177981377
"Baja California Sur","Mulegé",2019,0.172257468104362
"Baja California Sur","Mulegé",2020,0.191870808601379
"Campeche","Calakmul",2010,0.790336489677429
"Campeche","Calakmul",2011,0.775115013122559
"Campeche","Calakmul",2013,0.759094893932343
"Campeche","Calakmul",2014,0.792083978652954
"Campeche","Calakmul",2015,0.763367474079132
"Campeche","Calakmul",2016,0.796647667884827
"Campeche","Calakmul",2017,0.785041987895966
"Campeche","Calakmul",2018,0.78694099187851
"Campeche","Calakmul",2019,0.768932640552521
"Campeche","Calakmul",2020,0.789614319801331
"Campeche","Calkiní",2010,0.636007010936737
"Campeche","Calkiní",2011,0.633828282356262
"Campeche","Calkiní",2013,0.62589430809021
"Campeche","Calkiní",2014,0.670276403427124
"Campeche","Calkiní",2015,0.657561957836151
"Campeche","Calkiní",2016,0.667518079280853
"Campeche","Calkiní",2017,0.642852127552032
"Campeche","Calkiní",2018,0.66327977180481
"Campeche","Calkiní",2019,0.655516862869263
"Campeche","Calkiní",2020,0.648049414157867
"Campeche","Campeche",2010,0.710659444332123
"Campeche","Campeche",2011,0.705559134483337
"Campeche","Campeche",2013,0.696213483810425
"Campeche","Campeche",2014,0.745891332626343
"Campeche","Campeche",2015,0.731676578521729
"Campeche","Campeche",2016,0.729069650173187
"Campeche","Campeche",2017,0.691387236118317
"Campeche","Campeche",2018,0.731378853321075
"Campeche","Campeche",2019,0.716621100902557
"Campeche","Campeche",2020,0.705989181995392
"Campeche","Candelaria",2010,0.739743947982788
"Campeche","Candelaria",2011,0.739610850811005
"Campeche","Candelaria",2013,0.738908231258392
"Campeche","Candelaria",2014,0.740696787834167
"Campeche","Candelaria",2015,0.731785535812378
"Campeche","Candelaria",2016,0.732226729393005
"Campeche","Candelaria",2017,0.725989282131195
"Campeche","Candelaria",2018,0.755998849868774
"Campeche","Candelaria",2019,0.726775348186493
"Campeche","Candelaria",2020,0.724410891532898
"Campeche","Carmen",2010,0.697931706905365
"Campeche","Carmen",2011,0.687579929828644
"Campeche","Carmen",2013,0.706578135490417
"Campeche","Carmen",2014,0.71012532711029
"Campeche","Carmen",2015,0.703838169574738
"Campeche","Carmen",2016,0.712304770946503
"Campeche","Carmen",2017,0.698200047016144
"Campeche","Carmen",2018,0.719070136547089
"Campeche","Carmen",2019,0.699509918689728
"Campeche","Carmen",2020,0.701723039150238
"Campeche","Champotón",2010,0.743733704090118
"Campeche","Champotón",2011,0.736466765403748
"Campeche","Champotón",2013,0.742210566997528
"Campeche","Champotón",2014,0.773434698581696
"Campeche","Champotón",2015,0.762580573558807
"Campeche","Champotón",2016,0.763227045536041
"Campeche","Champotón",2017,0.731932282447815
"Campeche","Champotón",2018,0.772308588027954
"Campeche","Champotón",2019,0.753366887569427
"Campeche","Champotón",2020,0.749083995819092
"Campeche","Escárcega",2010,0.778206288814545
"Campeche","Escárcega",2011,0.7652707695961
"Campeche","Escárcega",2013,0.756091773509979
"Campeche","Escárcega",2014,0.777598202228546
"Campeche","Escárcega",2015,0.767613410949707
"Campeche","Escárcega",2016,0.770147442817688
"Campeche","Escárcega",2017,0.766410529613495
"Campeche","Escárcega",2018,0.792517602443695
"Campeche","Escárcega",2019,0.749009191989899
"Campeche","Escárcega",2020,0.766230821609497
"Campeche","Hecelchakán",2010,0.680177509784698
"Campeche","Hecelchakán",2011,0.68378072977066
"Campeche","Hecelchakán",2013,0.676737725734711
"Campeche","Hecelchakán",2014,0.719483196735382
"Campeche","Hecelchakán",2015,0.701123535633087
"Campeche","Hecelchakán",2016,0.708720743656158
"Campeche","Hecelchakán",2017,0.670620203018188
"Campeche","Hecelchakán",2018,0.714041173458099
