NAME_1,NAME_2,year,ndvi_mean,pob_tot,pob_mas,pob_fem,cve_mun,cve_ent,delitos,n_encuestados,prop_inseguro,n_valido_percepcion,prop_espera_empeorar,n_valido_expectativa,prop_atestiguo_alguno,indice_atestiguo,n_valido_atestiguo,prop_cambio_habito,indice_habito,n_valido_habito
Chiapas,Juárez,2017,0.768673121929169,1512450,756977,755473,8037,08,676,1059,0.6748582230623819,1058,0.24976348155156103,1057,0.6931067044381491,2.1048158640226635,1059,0.5599622285174694,1.3741690408357057,1053
Chiapas,Juárez,2017,0.768673121929169,471523,237717,233806,19031,19,46,55,0.9272727272727272,55,0.43636363636363634,55,0.9272727272727272,3.709090909090909,55,0.8181818181818182,2.2727272727272725,55
Chiapas,Juárez,2018,0.756983876228333,1512450,756977,755473,8037,08,1065,1053,0.7509505703422054,1052,0.24737344794651384,1047,0.7378917378917379,2.4909781576448244,1053,0.7549857549857549,2.040991420400381,1049
Chiapas,Juárez,2018,0.756983876228333,471523,237717,233806,19031,19,86,10,0.7,10,0.5,10,1,3.9,10,0.9,2.1,10
Chiapas,Juárez,2019,0.763591647148132,1512450,756977,755473,8037,08,1332,1074,0.7672253258845437,1074,0.3037383177570093,1070,0.7560521415270018,2.311918063314711,1074,0.7541899441340782,1.841565703634668,1073
Chiapas,Juárez,2020,0.756649255752563,1512450,756977,755473,8037,08,1482,810,0.754320987654321,810,0.25806451612903225,806,0.7876543209876543,2.4518518518518504,810,0.7086419753086419,1.6765432098765447,810
Chiapas,Tapachula,2016,0.721758544445038,353706,171610,182096,7089,07,181,810,0.7876543209876543,810,0.568944099378882,805,0.8481481481481481,2.8776266996291704,809,0.7555555555555555,1.874534161490682,805
Chiapas,Tapachula,2017,0.734547734260559,353706,171610,182096,7089,07,190,1088,0.8692449355432781,1086,0.5267527675276753,1084,0.8998161764705882,3.18491260349586,1087,0.8262867647058824,1.9705069124423955,1085
Chiapas,Tapachula,2018,0.725394368171692,353706,171610,182096,7089,07,232,1080,0.8870370370370371,1080,0.4011352885525071,1057,0.8851851851851852,3.077777777777775,1080,0.7490740740740741,1.746505125815471,1073
Chiapas,Tapachula,2019,0.728426814079285,353706,171610,182096,7089,07,161,1085,0.922509225092251,1084,0.4586815227483751,1077,0.8682027649769585,2.856221198156685,1085,0.7465437788018433,1.7527675276752763,1084
Chiapas,Tapachula,2020,0.738139510154724,353706,171610,182096,7089,07,134,797,0.8178391959798995,796,0.40254777070063696,785,0.7816813048933501,2.425879396984924,796,0.5846925972396487,1.4301886792452834,795
Chiapas,Tonalá,2013,0.668236136436462,569913,281695,288218,14101,14,83.3633403667055,32,0.875,32,0.2258064516129032,31,1,3.25,32,0.84375,1.84375,32
Chiapas,Tonalá,2014,0.69524222612381,569913,281695,288218,14101,14,88.210046201979,72,0.8333333333333334,72,0.29577464788732394,71,0.9861111111111112,2.0972222222222223,72,0.6666666666666666,1.0277777777777777,72
Chiapas,Tonalá,2015,0.705486595630646,569913,281695,288218,14101,14,86,96,0.9791666666666666,96,0.4583333333333333,96,0.9895833333333334,4.135416666666666,96,0.9583333333333334,2.03125,96
Chiapas,Tonalá,2016,0.667939901351929,569913,281695,288218,14101,14,95,119,0.8067226890756303,119,0.2711864406779661,118,0.9411764705882352,3.5210084033613445,119,0.680672268907563,1.6302521008403363,119
Chiapas,Tonalá,2017,0.685834169387817,569913,281695,288218,14101,14,171,126,0.7619047619047619,126,0.328,125,0.8968253968253969,3.523809523809524,126,0.7936507936507936,1.8968253968253963,126
Chiapas,Tonalá,2018,0.705280125141144,569913,281695,288218,14101,14,171,807,0.7571251548946716,807,0.2974683544303797,790,0.9008674101610904,3.5130111524163583,807,0.5861214374225526,1.2709113607989997,801
Chiapas,Tonalá,2019,0.692542731761932,569913,281695,288218,14101,14,218,1054,0.813510941960038,1051,0.2887189292543021,1046,0.9146110056925996,3.619771863117872,1052,0.6660341555977229,1.5399239543726224,1052
Chiapas,Tonalá,2020,0.711475312709808,569913,281695,288218,14101,14,206,784,0.8020434227330779,783,0.31876606683804626,778,0.917091836734694,3.4349489795918364,784,0.8048469387755102,2.031928480204342,783
Chiapas,Tuxtla Gutiérrez,2013,0.53400993347168,604147,287524,316623,7101,07,169.634704234575,79,0.5897435897435898,78,0.37662337662337664,77,0.8354430379746836,2.7721518987341773,79,0.6962025316455697,1.5696202531645571,79
Chiapas,Tuxtla Gutiérrez,2014,0.557753622531891,604147,287524,316623,7101,07,220.04044492142,145,0.6344827586206897,145,0.4444444444444444,144,0.9379310344827586,3.1310344827586207,145,0.7793103448275862,1.8827586206896552,145
Chiapas,Tuxtla Gutiérrez,2015,0.558547794818878,604147,287524,316623,7101,07,211,153,0.673202614379085,153,0.35294117647058826,153,0.8627450980392157,2.7973856209150325,153,0.7647058823529411,1.9281045751633985,153
Chiapas,Tuxtla Gutiérrez,2016,0.532825708389282,604147,287524,316623,7101,07,197,994,0.7129909365558912,993,0.5426829268292683,984,0.8531187122736419,2.7444668008048287,994,0.7686116700201208,1.7693856998992954,993
